,Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
0,100250001,31,7,28673151.6530514,5,5,4,554,14,Champions
1,100250003,116,2,20432897.806528203,2,3,4,234,9,Potential Loyalist
2,100250004,186,3,414647.3834094814,1,4,1,141,6,At Risk
3,100250005,210,1,274233.6350186494,1,1,1,111,3,Hibernating
4,100250006,125,1,134857.13146120426,2,1,1,211,4,Hibernating
5,100250008,210,1,200301.74904534136,1,1,1,111,3,Hibernating
6,100250010,46,5,69928708.30855314,4,5,5,455,14,Champions
7,100250013,1,1,5311267.158512498,5,1,3,513,9,Potential Loyalist
8,100250014,218,1,1584445.6942393559,1,1,2,112,4,Hibernating
9,100250015,142,3,64340338.95523977,2,4,5,245,11,Loyal Customers
10,100250017,44,2,1677701.9661348655,4,3,2,432,9,Potential Loyalist
11,100250018,47,3,683109.005681272,4,4,1,441,9,Potential Loyalist
12,100250020,201,1,973943.8989955193,1,1,1,111,3,Hibernating
13,100250021,89,4,63878705.830193624,3,4,5,345,12,Loyal Customers
14,100250022,63,1,2185484.2705295295,3,1,2,312,6,At Risk
15,100250023,28,1,2621512.7554019075,5,1,2,512,8,Potential Loyalist
16,100250025,116,2,7880475.479029075,2,3,3,233,8,Potential Loyalist
17,100250028,219,1,1321618.092998093,1,1,2,112,4,Hibernating
18,100250030,121,2,62384462.18046415,2,3,5,235,10,Loyal Customers
19,100250032,159,1,12645099.026249453,1,1,4,114,6,At Risk
20,100250033,69,1,384491.9576536561,3,1,1,311,5,At Risk
21,100250034,11,4,13159326.281631142,5,4,4,544,13,Champions
22,100250035,161,3,4133753.458238271,1,4,3,143,8,Potential Loyalist
23,100250037,13,2,52026220.6686103,5,3,5,535,13,Champions
24,100250038,7,6,2805065.3110676846,5,5,2,552,12,Loyal Customers
25,100250039,52,4,36728974.73214254,4,4,5,445,13,Champions
26,100250040,166,1,46865944.149141155,1,1,5,115,7,Potential Loyalist
27,100250041,66,1,3395832.7290376197,3,1,2,312,6,At Risk
28,100250042,169,1,57715.03049133489,1,1,1,111,3,Hibernating
29,100250043,139,1,12504684.503484534,2,1,4,214,7,Potential Loyalist
30,100250044,121,1,16067632.743367806,2,1,4,214,7,Potential Loyalist
31,100250045,9,5,30946484.42770552,5,5,5,555,15,Champions
32,100250046,3,6,62489582.67702462,5,5,5,555,15,Champions
33,100250047,209,1,1439204.1661310822,1,1,2,112,4,Hibernating
34,100250048,47,2,7382783.324334262,4,3,3,433,10,Loyal Customers
35,100250049,9,5,18910623.779893372,5,5,4,554,14,Champions
36,100250050,133,1,8734191.396275995,2,1,3,213,6,At Risk
37,100250051,37,7,141194662.24076682,4,5,5,455,14,Champions
38,100250052,0,5,29876349.80143593,5,5,5,555,15,Champions
39,100250053,152,2,32618026.68751994,2,3,5,235,10,Loyal Customers
40,100250054,144,2,39036052.2504392,2,3,5,235,10,Loyal Customers
41,100250055,64,1,1052059.38386373,3,1,1,311,5,At Risk
42,100250056,148,2,3052325.70604448,2,3,2,232,7,Potential Loyalist
43,100250057,74,2,7249235.936741544,3,3,3,333,9,Potential Loyalist
44,100250059,69,1,369303.6038428471,3,1,1,311,5,At Risk
45,100250060,185,1,595470.2795218625,1,1,1,111,3,Hibernating
46,100250061,162,1,1058877.3620571275,1,1,1,111,3,Hibernating
47,100250062,13,4,22861933.90288105,5,4,4,544,13,Champions
48,100250063,54,2,16798913.12314586,4,3,4,434,11,Loyal Customers
49,100250064,7,2,582783.2323513292,5,3,1,531,9,Potential Loyalist
50,100250065,40,5,139660178.82975036,4,5,5,455,14,Champions
51,100250066,143,1,4829059.038251441,2,1,3,213,6,At Risk
